Month,Utility_Number,Name,State,AMR_Total,AMI_Total
1,9216,Imperial Irrigation District,CA,"51,468","35,850"
1,11208,Los Angeles Department of Water & Power,CA,"401,475","8,447"
1,12745,Modesto Irrigation District,CA,0,"118,027"
1,14328,Pacific Gas & Electric Co,CA,0,"5,138,581"
1,14354,PacifiCorp,CA,"6,176",0
1,14534,City of Pasadena - (CA),CA,"63,157",0
1,16534,Sacramento Municipal Util Dist,CA,0,"617,268"
1,16609,San Diego Gas & Electric Co,CA,171,"1,412,102"
1,17609,Southern California Edison Co,CA,"22,489","5,040,941"
1,17612,Bear Valley Electric Service,CA,"23,784",0
1,18260,Surprise Valley Electrification,CA,0,0
1,19281,Turlock Irrigation District,CA,"78,572",0
1,19840,"Valley Electric Assn, Inc",CA,44,0
1,3989,City of Colorado Springs - (CO),CO,"208,464","11,482"
1,6604,City of Fort Collins - (CO),CO,16,"69,780"
1,9336,Intermountain Rural Elec Assn,CO,"148,733",0
1,10066,K C Electric Association,CO,0,"6,479"
1,12866,Moon Lake Electric Assn Inc,CO,"2,245",0
1,15257,"Poudre Valley Associated Services, Inc.",CO,14,"37,885"
1,15466,Public Service Co of Colorado,CO,"1,147,475","15,724"
1,16603,"San Luis Valley R E C, Inc",CO,"2,220","8,241"
1,19499,"United Power, Inc",CO,125,"33,456"
1,27058,"High West Energy, Inc",CO,980,0
1,56146,Black Hills/Colorado Elec.Util,CO,0,"94,191"
1,4176,Connecticut Light & Power Co,CT,"1,257,251",0
1,7716,Groton Dept of Utilities - (CT),CT,"13,086",0
1,19497,United Illuminating Co,CT,"156,550","185,919"
1,20038,Town of Wallingford - (CT),CT,"7,721",0
1,15270,Potomac Electric Power Co,DC,"2,103","277,998"
1,5027,Delmarva Power,DE,69,"293,663"
1,5070,Delaware Electric Cooperative,DE,"86,484",0
1,5335,City of Dover - (DE),DE,"23,328",0
1,13519,City of Newark - (DE),DE,0,"12,737"
1,6452,Florida Power & Light Co,FL,686,"4,884,112"
1,6455,"Duke Energy Florida, LLC",FL,"1,634,062","75,582"
1,6457,Florida Public Utilities Co,FL,"9,361",0
1,7801,Gulf Power Co,FL,0,"439,642"
1,9617,JEA,FL,"328,244","130,658"
1,18454,Tampa Electric Co,FL,"665,041",0
1,3408,City of Chattanooga - (TN),GA,0,"10,467"
1,3916,Cobb Electric Membership Corp,GA,0,"194,175"
1,7140,Georgia Power Co,GA,0,"2,401,457"
1,9601,Jackson Electric Member Corp - (GA),GA,0,"214,747"
1,8287,Hawaii Electric Light Co Inc,HI,"14,397",0
1,10071,Kauai Island Utility Cooperative,HI,"1,262","30,599"
1,11843,Maui Electric Co Ltd,HI,"6,913",30
1,19547,Hawaiian Electric Co Inc,HI,"15,002",0
1,471,Amana Society Service Co,IA,885,0
1,9417,Interstate Power and Light Co,IA,"5,741",0
1,12341,MidAmerican Energy Co,IA,"662,688",0
1,9187,City of Idaho Falls - (ID),ID,0,"27,196"
1,9191,Idaho Power Co,ID,"1,000","503,230"
1,10454,Kootenai Electric Cooperative,ID,0,"25,129"
1,11273,Lower Valley Energy Inc,ID,0,"1,680"
1,12692,"Missoula Electric Coop, Inc",ID,58,0
1,14354,PacifiCorp,ID,"29,697",0
1,16565,Salmon River Electric Coop Inc,ID,0,"2,615"
1,20169,Avista Corp,ID,"128,270",0
1,22814,Raft Rural Elec Coop Inc,ID,0,"2,549"
1,4110,Commonwealth Edison Co,IL,"5,685","1,946,933"
1,12341,MidAmerican Energy Co,IL,"84,571",0
1,13032,Mt Carmel Public Utility Co,IL,0,0
1,56697,Ameren Illinois Company,IL,"664,845","276,289"
1,261,AGC Division of APG Inc,IN,5,0
1,9273,Indianapolis Power & Light Co,IN,"482,291","36,054"
1,9324,Indiana Michigan Power Co,IN,"452,851","9,929"
1,13756,Northern Indiana Pub Serv Co,IN,"13,473",0
1,15470,"Duke Energy Indiana, LLC",IN,"825,932","3,416"
1,17633,Southern Indiana Gas & Elec Co,IN,0,0
1,9996,City of Kansas City - (KS),KS,3,"63,246"
1,10000,Kansas City Power & Light Co,KS,170,"231,625"
1,10005,Kansas Gas & Electric Co,KS,"9,045","209,492"
1,22500,Westar Energy Inc,KS,"25,428","55,011"
1,9964,Kenergy Corp,KY,0,0
1,10171,Kentucky Utilities Co,KY,"26,701",293
1,11249,Louisville Gas & Electric Co,KY,"30,158","1,623"
1,14724,Pennyrile Rural Electric Coop,KY,0,"43,318"
1,17564,South Kentucky Rural E C C,KY,0,"66,416"
1,18642,Tennessee Valley Authority,KY,0,66
1,19446,Duke Energy Kentucky,KY,"102,837","39,338"
1,20130,Warren Rural Elec Coop Corp,KY,"61,762",10
1,22053,Kentucky Power Co,KY,"169,249",4
1,49998,City of Berea Municipal Utility,KY,"5,173",0
1,3265,Cleco Power LLC,LA,0,"282,907"
1,11241,Entergy Louisiana LLC,LA,"19,601","12,351"
1,13478,Entergy New Orleans Inc,LA,"5,990","4,293"
1,17698,Southwestern Electric Power Co,LA,"120,981",0
1,6374,Fitchburg Gas & Elec Light Co,MA,15,"28,757"
1,8774,City of Holyoke - (MA),MA,"17,200",0
1,11804,Massachusetts Electric Co,MA,"1,242,080","15,044"
1,13206,Nantucket Electric Co,MA,"13,585",0
1,15748,Town of Reading - (MA),MA,"29,699",0
1,20455,Western Massachusetts Electric Company,MA,"216,330",0
1,54913,NSTAR Electric Company,MA,"1,210,887",0
1,84,A & N Electric Coop,MD,311,0
1,1167,Baltimore Gas & Electric Co,MD,"92,417","1,210,333"
1,5027,Delmarva Power,MD,81,0
1,15263,The Potomac Edison Company,MD,"8,849",0
1,15270,Potomac Electric Power Co,MD,"1,026","555,443"
1,17637,Southern Maryland Elec Coop Inc,MD,"84,100",848
1,1179,Emera Maine,ME,0,"120,556"
1,3266,Central Maine Power Co,ME,60,"626,043"
1,8883,Houlton Water Company,ME,0,0
1,3828,Cloverland Electric Co-op,MI,"41,995",0
1,4254,Consumers Energy Co,MI,0,"838,651"
1,5109,DTE Electric Company,MI,0,"2,076,486"
1,9324,Indiana Michigan Power Co,MI,"128,706",0
1,10704,City of Lansing - (MI),MI,"1,051",140
1,13780,Northern States Power Co,MI,"9,290",0
1,19578,Upper Peninsula Power Company,MI,43,0
1,20847,Wisconsin Electric Power Co,MI,"27,471",0
1,20860,Wisconsin Public Service Corp,MI,"9,196",0
1,689,Connexus Energy,MN,0,0
1,5574,East Central Energy,MN,"53,641",0
1,10596,City of Lake Crystal - (MN),MN,"1,202",0
1,12647,"ALLETE, Inc.",MN,"98,753","41,874"
1,13781,Northern States Power Co - Minnesota,MN,"1,266,576",0
1,13815,Northwestern Wisconsin Elec Co,MN,57,0
1,14232,Otter Tail Power Co,MN,41,0
1,16181,Rochester Public Utilities,MN,"51,832",0
1,17267,Sioux Valley SW Elec Coop,MN,0,"3,799"
1,20996,Wright-Hennepin Coop Elec Assn,MN,0,"63,139"
1,25177,Dakota Electric Association,MN,"37,175",0
1,3093,Carroll Electric Coop Corp - (AR),MO,0,"11,740"
1,4675,Cuivre River Electric Coop Inc,MO,"60,412","1,279"
1,9231,City of Independence - (MO),MO,0,0
1,10000,Kansas City Power & Light Co,MO,"1,280","275,033"
1,12698,KCP&L Greater Missouri Operations Co.,MO,456,"49,572"
1,17833,City Utilities of Springfield - (MO),MO,"6,214","3,423"
1,19436,Union Electric Co - (MO),MO,"1,197,584",0
1,3841,Coast Electric Power Assn,MS,0,"80,321"
1,6641,4-County Electric Power Assn,MS,0,"46,981"
1,12685,Entergy Mississippi Inc,MS,"6,745",92
1,12686,Mississippi Power Co,MS,"6,632",20
1,17252,Singing River Elec Pwr Assn,MS,"72,381",0
1,17647,Southern Pine Elec Power Assn,MS,0,"66,134"
1,18642,Tennessee Valley Authority,MS,0,20
1,19273,City of Tupelo - (MS),MS,11,0
1,6395,Flathead Electric Coop Inc,MT,360,"63,448"
1,12087,McKenzie Electric Coop Inc,MT,113,0
1,12199,Montana-Dakota Utilities Co,MT,"25,936",0
1,12692,"Missoula Electric Coop, Inc",MT,"11,722","2,688"
1,12825,NorthWestern Energy LLC - (MT),MT,"326,655",0
1,19156,Powder River Energy Corp,MT,171,2
1,19545,"Black Hills Power, Inc. d/b/a",MT,0,40
1,19603,USBIA-Mission Valley Power,MT,"19,672",0
1,20169,Avista Corp,MT,30,0
1,20997,Yellowstone Valley Elec Co-op,MT,"18,914",0
1,3046,Duke Energy Progress - (NC),NC,"1,324,152",0
1,5416,"Duke Energy Carolinas, LLC",NC,"1,440,606","445,600"
1,6235,Public Works Comm-City of Fayetteville,NC,"25,439","55,575"
1,9837,Jones-Onslow Elec Member Corp,NC,"68,047",0
1,16496,Rutherford Elec Member Corp,NC,0,"68,561"
1,18642,Tennessee Valley Authority,NC,0,1
1,19876,Virginia Electric & Power Co,NC,"112,309",0
1,24889,Brunswick Electric Member Corp,NC,0,"88,285"
1,4717,Dakota Valley Elec Coop Inc,ND,"6,500",0
1,12087,McKenzie Electric Coop Inc,ND,"12,040",0
1,12090,"McLean Electric Coop, Inc",ND,"3,918",0
1,12199,Montana-Dakota Utilities Co,ND,"92,449",0
1,12301,Nodak Electric Coop Inc,ND,0,"19,143"
1,13196,Northern Plains Electric Coop,ND,"18,175",0
1,13694,"North Central Elec Coop, Inc",ND,"7,850",0
1,13781,Northern States Power Co - Minnesota,ND,"94,016",0
1,14232,Otter Tail Power Co,ND,19,0
1,19790,Verendrye Electric Coop Inc,ND,0,"16,247"
1,20413,Mountrail-Williams Elec Coop,ND,"18,267",0
1,24949,Cass County Elec Coop Inc,ND,363,"52,445"
1,55959,Roughrider Electric Cooperativ,ND,"14,544",0
1,4373,Cornhusker Public Power Dist,NE,"9,395",0
1,4911,Dawson Power District,NE,3,"22,919"
1,6779,City of Fremont - (NE),NE,"14,991",0
1,8245,City of Hastings - (NE),NE,"11,186",0
1,11018,Lincoln Electric System,NE,"112,620",0
1,11251,Loup River Public Power Dist,NE,"19,210",0
1,12539,Midwest Electric Member Corp,NE,"6,445",0
1,13337,Nebraska Public Power District,NE,"12,326","45,376"
1,13664,Norris Public Power District,NE,"1,474","1,397"
1,14127,Omaha Public Power District,NE,"366,089",509
1,17642,Southern Public Power District,NE,"2,964",0
1,27058,"High West Energy, Inc",NE,"3,030",0
1,40606,City of Grand Island - (NE),NE,0,624
1,13441,New Hampshire Elec Coop Inc,NH,24,"84,096"
1,15472,Public Service Co of NH,NH,"449,299",0
1,24590,Unitil Energy Systems,NH,200,"74,334"
1,26510,Liberty Utilities (Granite State Electric) Corp,NH,"40,741",8
1,963,Atlantic City Electric Co,NJ,"1,214",0
1,9726,Jersey Central Power & Lt Co,NJ,"3,690",0
1,15477,Public Service Elec & Gas Co,NJ,0,"13,676"
1,16213,Rockland Electric Co,NJ,"20,870",0
1,3287,"Central Valley Elec Coop, Inc",NM,342,"14,758"
1,5701,El Paso Electric Co,NM,"102,500",0
1,6204,City of Farmington - (NM),NM,"42,563",0
1,11204,Los Alamos County,NM,100,"1,450"
1,13314,Navajo Tribal Utility Authority,NM,0,"10,455"
1,15473,Public Service Co of NM,NM,"33,372",0
1,17718,Southwestern Public Service Co,NM,869,17
1,22690,Roosevelt County Elec Coop Inc,NM,0,"6,064"
1,2008,City of Boulder City - (NV),NV,427,0
1,4356,Colorado River Comm of Nevada,NV,0,23
1,13073,"Mt Wheeler Power, Inc",NV,"6,836",8
1,13407,Nevada Power Co,NV,288,"937,748"
1,17166,Sierra Pacific Power Co,NV,196,"342,998"
1,18260,Surprise Valley Electrification,NV,0,0
1,19840,"Valley Electric Assn, Inc",NV,"21,257",0
1,20332,Wells Rural Electric Co,NV,"5,402",0
1,22814,Raft Rural Elec Coop Inc,NV,0,"1,777"
1,3249,Central Hudson Gas & Elec Corp,NY,"116,210",0
1,4226,Consolidated Edison Co-NY Inc,NY,"1,454,977",0
1,11171,Long Island Power Authority,NY,"19,172","8,521"
1,13511,New York State Elec & Gas Corp,NY,984,0
1,13573,Niagara Mohawk Power Corp.,NY,"1,926,872","3,293"
1,14154,Orange & Rockland Utils Inc,NY,"92,261",0
1,14711,Pennsylvania Electric Co,NY,1,0
1,16183,Rochester Gas & Electric Corp,NY,677,0
1,3542,Duke Energy Ohio Inc,OH,"7,738","704,730"
1,3755,Cleveland Electric Illum Co,OH,"9,120","31,866"
1,4922,Dayton Power & Light Co,OH,"276,393",0
1,13998,Ohio Edison Co,OH,"3,275",11
1,14006,Ohio Power Co,OH,"615,594","135,851"
1,18997,The Toledo Edison Co,OH,"1,068",0
1,817,Arkansas Valley Elec Coop Corp,OK,0,"4,554"
1,7490,Grand River Dam Authority,OK,0,174
1,13734,Northeast Oklahoma Electric Co,OK,0,"38,371"
1,14062,Oklahoma Electric Coop Inc,OK,0,"53,597"
1,14063,Oklahoma Gas & Electric Co,OK,1,"784,958"
1,15474,Public Service Co of Oklahoma,OK,"77,351","396,516"
1,19785,Verdigris Valley Elec Coop Inc,OK,0,"36,110"
1,1738,Bonneville Power Administration,OR,1,0
1,6022,City of Eugene - (OR),OR,17,0
1,9191,Idaho Power Co,OR,289,"17,391"
1,14354,PacifiCorp,OR,"106,300",0
1,15248,Portland General Electric Co,OR,0,"853,750"
1,18260,Surprise Valley Electrification,OR,0,0
1,28541,Clatskanie Peoples Util Dist,OR,575,0
1,40437,Emerald People's Utility Dist,OR,"20,883",0
1,3597,Citizens Electric Co - (PA),PA,0,"6,941"
1,5487,Duquesne Light Co,PA,"416,906","169,483"
1,12390,Metropolitan Edison Co,PA,"4,376",1
1,14711,Pennsylvania Electric Co,PA,"3,094",0
1,14715,PPL Electric Utilities Corp,PA,0,"1,421,446"
1,14716,Pennsylvania Power Co,PA,244,0
1,14940,PECO Energy Co,PA,"15,534","1,630,631"
1,15045,Pike County Light & Power Co,PA,"3,372",0
1,19390,"UGI Utilities, Inc",PA,"59,430",0
1,20334,Wellsborough Electric Co,PA,"1,003","4,788"
1,20387,West Penn Power Company,PA,"21,360",2
1,1857,Block Island Power Co,RI,"1,898",0
1,13214,The Narragansett Electric Co,RI,"485,607",252
1,14537,Pascoag Utility District,RI,"3,961",0
1,1613,Berkeley Electric Coop Inc,SC,91,"88,948"
1,3046,Duke Energy Progress - (NC),SC,"165,089",0
1,5416,"Duke Energy Carolinas, LLC",SC,"463,576","91,148"
1,11118,Lockhart Power Co,SC,"6,238",0
1,14398,Palmetto Electric Coop Inc,SC,0,"69,465"
1,17539,South Carolina Electric&Gas Company,SC,"686,305","9,894"
1,17543,South Carolina Public Service Authority,SC,"114,445",29
1,1769,"Black Hills Electric Coop, Inc",SD,246,"9,394"
1,3236,"Central Electric Coop, Inc - (SD)",SD,"7,216",0
1,11475,City of Madison - (SD),SD,0,0
1,12199,Montana-Dakota Utilities Co,SD,"8,535",0
1,12341,MidAmerican Energy Co,SD,"4,757",0
1,13337,Nebraska Public Power District,SD,0,"1,276"
1,13750,"Northern Electric Coop, Inc",SD,0,"6,244"
1,13781,Northern States Power Co - Minnesota,SD,"90,853",0
1,14232,Otter Tail Power Co,SD,8,0
1,16286,Rosebud Electric Coop Inc,SD,0,"5,442"
1,17267,Sioux Valley SW Elec Coop,SD,1,"20,206"
1,19293,Southeastern Electric Coop Inc - (SD),SD,"15,919",0
1,19545,"Black Hills Power, Inc. d/b/a",SD,0,"66,812"
1,19896,City of Volga - (SD),SD,"1,040",0
1,20187,Watertown Municipal Utilities,SD,"12,802",0
1,20401,West River Electric Assn Inc,SD,0,"16,566"
1,727,Appalachian Electric Coop,TN,0,"45,553"
1,814,Entergy Arkansas Inc,TN,0,0
1,2247,City of Bristol - (TN),TN,0,"15,701"
1,3408,City of Chattanooga - (TN),TN,0,"164,356"
1,3704,City of Clarksville - (TN),TN,0,"63,783"
1,3758,City of Cleveland - (TN),TN,0,"30,912"
1,3812,City of Clinton - (TN),TN,0,"29,109"
1,4624,Cumberland Elec Member Corp,TN,"93,498",0
1,5399,Duck River Elec Member Corp,TN,0,"3,930"
1,7174,Gibson Electric Members Corp,TN,0,"34,381"
1,7625,City of Greeneville - (TN),TN,0,"37,784"
1,9777,Johnson City - (TN),TN,0,"77,255"
1,10171,Kentucky Utilities Co,TN,4,0
1,10331,Kingsport Power Co,TN,"47,474",40
1,10421,Knoxville Utilities Board,TN,"6,578","5,329"
1,10906,City of Lenoir - (TN),TN,"58,407",0
1,12293,City of Memphis - (TN),TN,242,896
1,12470,Middle Tennessee E M C,TN,0,"95,624"
1,13216,Nashville Electric Service,TN,"51,327","142,151"
1,17564,South Kentucky Rural E C C,TN,0,182
1,17694,Southwest Tennessee E M C,TN,"41,181","8,223"
1,18642,Tennessee Valley Authority,TN,0,72
1,19574,Upper Cumberland E M C,TN,0,"48,409"
1,19898,Volunteer Electric Coop,TN,0,"113,230"
1,3278,AEP Texas Central Company,TX,125,"825,851"
1,5701,El Paso Electric Co,TX,"295,393",0
1,8901,CenterPoint Energy,TX,"8,636","2,363,064"
1,13830,Nueces Electric Cooperative,TX,846,0
1,16604,City of San Antonio - (TX),TX,"415,433","236,139"
1,17008,Sharyland Utilities LP,TX,"3,052","43,387"
1,17698,Southwestern Electric Power Co,TX,"175,183",0
1,17718,Southwestern Public Service Co,TX,342,39
1,20404,AEP Texas North Company,TX,54,"189,033"
1,40051,Texas-New Mexico Power Co,TX,0,"220,730"
1,44372,Oncor Electric Delivery Company LLC,TX,0,"3,372,575"
1,55937,Entergy Texas Inc.,TX,"17,021",0
1,2010,City of Bountiful,UT,"16,837",0
1,11135,City of Logan - (UT),UT,0,"19,569"
1,12866,Moon Lake Electric Assn Inc,UT,"16,531",0
1,13073,"Mt Wheeler Power, Inc",UT,349,2
1,13314,Navajo Tribal Utility Authority,UT,0,825
1,14354,PacifiCorp,UT,"848,232",0
1,15444,Provo City Corp,UT,"4,854",556
1,17845,City of Springville - (UT),UT,"10,800",0
1,17874,City of St George,UT,"29,037",0
1,18206,Strawberry Electric Serv Dist,UT,"3,430",0
1,20332,Wells Rural Electric Co,UT,714,0
1,22814,Raft Rural Elec Coop Inc,UT,0,693
1,84,A & N Electric Coop,VA,"33,733",0
1,733,Appalachian Power Co,VA,"526,877",329
1,10171,Kentucky Utilities Co,VA,"2,423",0
1,17066,Shenandoah Valley Elec Coop,VA,"91,688",0
1,19876,Virginia Electric & Power Co,VA,"1,953,022","362,525"
1,19882,Virginia Tech Electric Service,VA,"5,672",65
1,40228,Rappahannock Electric Coop,VA,0,"155,544"
1,2548,City of Burlington Electric - (VT),VT,427,"19,476"
1,7601,Green Mountain Power Corp,VT,"2,046","262,567"
1,19791,"Vermont Electric Cooperative, Inc",VT,"40,765",0
1,1738,Bonneville Power Administration,WA,53,0
1,3660,PUD No 1 of Clark County - (WA),WA,"190,383",0
1,10454,Kootenai Electric Cooperative,WA,0,94
1,14354,PacifiCorp,WA,"127,000",0
1,15500,Puget Sound Energy Inc,WA,"1,129,128","4,810"
1,16868,City of Seattle - (WA),WA,767,0
1,17470,PUD 1 of Snohomish County,WA,"4,120",0
1,18429,City of Tacoma - (WA),WA,482,"15,614"
1,20169,Avista Corp,WA,"68,213",0
1,4247,Consolidated Water Power Co,WI,108,0
1,4715,Dahlberg Light & Power Co,WI,0,0
1,5574,East Central Energy,WI,"5,106",0
1,11479,Madison Gas & Electric Co,WI,"141,583","6,453"
1,13697,North Central Power Co Inc,WI,0,0
1,13780,Northern States Power Co,WI,"246,630",0
1,13815,Northwestern Wisconsin Elec Co,WI,984,0
1,18336,Superior Water and Light Co,WI,403,0
1,20847,Wisconsin Electric Power Co,WI,"1,020,593","99,158"
1,20856,Wisconsin Power & Light Co,WI,65,"461,033"
1,20860,Wisconsin Public Service Corp,WI,"443,589",0
1,733,Appalachian Power Co,WV,"433,340",554
1,12796,Monongahela Power Co,WV,"34,831",0
1,15263,The Potomac Edison Company,WV,"6,985",0
1,20521,Wheeling Power Co,WV,"42,241",14
1,3461,Cheyenne Light Fuel & Power d/b/a Black Hills Energy,WY,0,"40,703"
1,7222,City of Gillette - (WY),WY,"14,881",0
1,8566,High Plains Power Inc,WY,"12,448",0
1,11273,Lower Valley Energy Inc,WY,0,"25,240"
1,12199,Montana-Dakota Utilities Co,WY,"15,511",0
1,12825,NorthWestern Energy LLC - (MT),WY,325,0
1,14354,PacifiCorp,WY,"136,830",0
1,19156,Powder River Energy Corp,WY,"26,819",23
1,19545,"Black Hills Power, Inc. d/b/a",WY,0,"2,672"
1,27058,"High West Energy, Inc",WY,"5,861",0
2,213,Alaska Electric Light&Power Co,AK,"15,036",0
2,219,Alaska Power and Telephone Co,AK,"7,638",0
2,221,"Alaska Village Elec Coop, Inc",AK,"10,843",0
2,599,Anchorage Municipal Light and Power,AK,"30,429",0
2,3522,Chugach Electric Assn Inc,AK,"68,426","12,807"
2,7353,Golden Valley Elec Assn Inc,AK,"45,519",0
2,10210,Ketchikan Public Utilities,AK,0,"4,755"
2,10433,Kodiak Electric Assn Inc,AK,"5,757",0
2,10451,Kotzebue Electric Assn Inc,AK,79,"1,058"
2,11824,Matanuska Electric Assn Inc,AK,"34,762","22,896"
2,19558,Homer Electric Assn Inc,AK,"29,569",82
2,195,Alabama Power Co,AL,0,"1,433,287"
2,4958,Decatur Utilities,AL,0,231
2,9094,City of Huntsville - (AL),AL,0,16
2,9739,Joe Wheeler Elec Member Corp,AL,0,"42,837"
2,17252,Singing River Elec Pwr Assn,AL,325,0
2,18642,Tennessee Valley Authority,AL,0,29
2,814,Entergy Arkansas Inc,AR,"18,611",654
2,817,Arkansas Valley Elec Coop Corp,AR,0,"53,920"
2,3093,Carroll Electric Coop Corp - (AR),AR,0,"82,344"
2,6342,First Electric Coop Corp,AR,0,"91,055"
2,12681,Mississippi County Electric Co,AR,"4,336",0
2,13718,City of North Little Rock - (AR),AR,50,"35,842"
2,14063,Oklahoma Gas & Electric Co,AR,0,"68,445"
2,17698,Southwestern Electric Power Co,AR,"105,210",0
2,176,Ajo Improvement Co,AZ,995,0
2,803,Arizona Public Service Co,AZ,321,"1,183,926"
2,12919,Morenci Water and Electric,AZ,"2,587",0
2,13314,Navajo Tribal Utility Authority,AZ,0,"28,504"
2,16572,Salt River Project,AZ,3,"888,469"
2,19189,Trico Electric Cooperative Inc,AZ,602,"43,845"
2,19728,"UNS Electric, Inc",AZ,"84,767",150
2,21538,"Mohave Electric Cooperative, I",AZ,0,"37,636"
2,24211,Tucson Electric Power Co,AZ,"422,366",53
2,25866,Ak-Chin Electric Utility Authority,AZ,448,0
2,4390,City of Corona - (CA),CA,"1,480",0
2,9216,Imperial Irrigation District,CA,"51,130","38,119"
2,11208,Los Angeles Department of Water & Power,CA,"404,775","8,454"
2,12745,Modesto Irrigation District,CA,0,"118,097"
2,14328,Pacific Gas & Electric Co,CA,0,"5,141,273"
2,14354,PacifiCorp,CA,"6,349",0
2,14534,City of Pasadena - (CA),CA,"63,157",0
2,16534,Sacramento Municipal Util Dist,CA,0,"617,681"
2,16609,San Diego Gas & Electric Co,CA,172,"1,411,094"
2,17609,Southern California Edison Co,CA,"22,456","5,043,459"
2,17612,Bear Valley Electric Service,CA,"23,779",0
2,18260,Surprise Valley Electrification,CA,0,0
2,19281,Turlock Irrigation District,CA,"78,639",0
2,19840,"Valley Electric Assn, Inc",CA,44,0
2,3989,City of Colorado Springs - (CO),CO,"208,174","11,928"
2,6604,City of Fort Collins - (CO),CO,0,"69,838"
2,9336,Intermountain Rural Elec Assn,CO,"148,889",0
2,10066,K C Electric Association,CO,0,"6,350"
2,12866,Moon Lake Electric Assn Inc,CO,"2,240",0
2,15257,"Poudre Valley Associated Services, Inc.",CO,13,"38,070"
2,15466,Public Service Co of Colorado,CO,"1,134,147","15,058"
2,16603,"San Luis Valley R E C, Inc",CO,"2,207","8,303"
2,19499,"United Power, Inc",CO,120,"33,445"
2,27058,"High West Energy, Inc",CO,979,0
2,56146,Black Hills/Colorado Elec.Util,CO,0,"94,375"
2,4176,Connecticut Light & Power Co,CT,"1,257,580",0
2,7716,Groton Dept of Utilities - (CT),CT,"13,168",0
2,19497,United Illuminating Co,CT,"155,138","187,575"
2,20038,Town of Wallingford - (CT),CT,"7,721",0
2,15270,Potomac Electric Power Co,DC,"2,103","277,998"
2,5027,Delmarva Power,DE,68,"293,663"
2,5070,Delaware Electric Cooperative,DE,"86,635",0
2,5335,City of Dover - (DE),DE,"23,406",0
2,13519,City of Newark - (DE),DE,0,"12,793"
2,6452,Florida Power & Light Co,FL,676,"4,889,468"
2,6455,"Duke Energy Florida, LLC",FL,"1,637,308","75,795"
2,6457,Florida Public Utilities Co,FL,"9,361",0
2,7801,Gulf Power Co,FL,0,"440,171"
2,9617,JEA,FL,"322,382","137,009"
2,18454,Tampa Electric Co,FL,"666,678",0
2,3408,City of Chattanooga - (TN),GA,0,"10,475"
2,3916,Cobb Electric Membership Corp,GA,0,"193,649"
2,7140,Georgia Power Co,GA,0,"2,405,242"
2,9601,Jackson Electric Member Corp - (GA),GA,0,"215,005"
2,8287,Hawaii Electric Light Co Inc,HI,"14,438",0
2,10071,Kauai Island Utility Cooperative,HI,"1,255","30,608"
2,11843,Maui Electric Co Ltd,HI,"6,868",30
2,19547,Hawaiian Electric Co Inc,HI,"15,021",0
2,471,Amana Society Service Co,IA,888,0
2,9417,Interstate Power and Light Co,IA,"6,058",0
2,12341,MidAmerican Energy Co,IA,"663,107",0
2,9187,City of Idaho Falls - (ID),ID,0,"27,228"
2,9191,Idaho Power Co,ID,"1,001","503,784"
2,10454,Kootenai Electric Cooperative,ID,0,"25,200"
2,11273,Lower Valley Energy Inc,ID,0,"1,684"
2,12692,"Missoula Electric Coop, Inc",ID,57,0
2,14354,PacifiCorp,ID,"29,937",0
2,16565,Salmon River Electric Coop Inc,ID,0,"2,626"
